intent,allowedTools,forbiddenTools
alarm,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop,calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call;photos.search;rag.index_files;rag.index_photos;rag.search;reminders.create;reminders.list;trigger.cancel;trigger.create;trigger.list;weather
calendar,calendar.create;calendar.list,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call;photos.search;rag.index_files
camera,camera.capture,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call;photos.search
chat,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call
contactSearch,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call
emailDraft,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call
files,files.read;photos.search;rag.index_files;rag.index_photos;rag.search,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call;reminders.create
health,health.summary,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call;photos.search
maps,location.current;maps.directions;maps.search,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;mail.draft;memory.recall;memory.save;messages.draft;motion.activity;phone.call;photos.search;rag.index_files;rag.index_photos
memory,memory.recall;memory.save,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;messages.draft;motion.activity;phone.call;photos.search;rag.index_files
messageDraft,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call
motion,motion.activity,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;phone.call;photos.search
note,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call
phoneCall,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call
photos,files.read;photos.search;rag.index_files;rag.index_photos;rag.search,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call;reminders.create
rag,files.read;photos.search;rag.index_files;rag.index_photos;rag.search,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call;reminders.create
reminder,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call
trigger,trigger.cancel;trigger.create;trigger.list,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call
unknown,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call
weather,location.current;weather,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call;photos.search
webSearch,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call
